"","...1","year","imdb","title","test","clean_test","binary","budget","domgross","intgross","code","budget_2013","domgross_2013","intgross_2013","period_code","decade_code","gross_2013","roi"
"1",1,2013,"tt1711425","21 & Over","notalk","notalk","FAIL",1.3e+07,25682380,42195766,"2013FAIL",1.3e+07,25682380,42195766,1,1,67878146,5.22139584615385
"2",2,2012,"tt1343727","Dredd 3D","ok-disagree","ok","PASS",4.5e+07,13414714,40868994,"2012PASS",45658735,13611086,41467257,1,1,55078343,1.2063046205726
"3",3,2013,"tt2024544","12 Years a Slave","notalk-disagree","notalk","FAIL",2e+07,53107035,158607035,"2013FAIL",2e+07,53107035,158607035,1,1,211714070,10.5857035
"4",4,2013,"tt1272878","2 Guns","notalk","notalk","FAIL",6.1e+07,75612460,132493015,"2013FAIL",6.1e+07,75612460,132493015,1,1,208105475,3.41156516393443
"5",5,2013,"tt0453562","42","men","men","FAIL",4e+07,95020213,95020213,"2013FAIL",4e+07,95020213,95020213,1,1,190040426,4.75101065
"6",6,2013,"tt1335975","47 Ronin","men","men","FAIL",2.25e+08,38362475,145803842,"2013FAIL",2.25e+08,38362475,145803842,1,1,184166317,0.818516964444444
"7",7,2013,"tt1606378","A Good Day to Die Hard","notalk","notalk","FAIL",9.2e+07,67349198,304249198,"2013FAIL",9.2e+07,67349198,304249198,1,1,371598396,4.039113
"8",8,2013,"tt2194499","About Time","ok-disagree","ok","PASS",1.2e+07,15323921,87324746,"2013PASS",1.2e+07,15323921,87324746,1,1,102648667,8.55405558333333
"9",9,2013,"tt1814621","Admission","ok","ok","PASS",1.3e+07,18007317,18007317,"2013PASS",1.3e+07,18007317,18007317,1,1,36014634,2.77035646153846
"10",10,2013,"tt1815862","After Earth","notalk","notalk","FAIL",1.3e+08,60522097,244373198,"2013FAIL",1.3e+08,60522097,244373198,1,1,304895295,2.34534842307692
"11",11,2013,"tt1800241","American Hustle","ok-disagree","ok","PASS",4e+07,148430908,249484909,"2013PASS",4e+07,148430908,249484909,1,1,397915817,9.947895425
"12",12,2013,"tt1322269","August: Osage County","ok","ok","PASS",2.5e+07,37304874,50304874,"2013PASS",2.5e+07,37304874,50304874,1,1,87609748,3.50438992
"13",13,2013,"tt1559547","Beautiful Creatures","ok","ok","PASS",5e+07,19452138,55940671,"2013PASS",5e+07,19452138,55940671,1,1,75392809,1.50785618
"14",14,2013,"tt2334873","Blue Jasmine","ok-disagree","ok","PASS",1.8e+07,33345833,68447831,"2013PASS",1.8e+07,33345833,68447831,1,1,101793664,5.65520355555556
"15",15,2013,"tt1535109","Captain Phillips","notalk","notalk","FAIL",5.5e+07,107136417,218743570,"2013FAIL",5.5e+07,107136417,218743570,1,1,325879987,5.92509067272727
"16",16,2013,"tt1939659","Carrie","ok","ok","PASS",3e+07,35266619,85001659,"2013PASS",3e+07,35266619,85001659,1,1,120268278,4.0089426
"17",17,2013,"tt1985966","Cloudy with a Chance of Meatballs 2","nowomen-disagree","nowomen","FAIL",7.8e+07,119640264,271725448,"2013FAIL",7.8e+07,119640264,271725448,1,1,391365712,5.01750912820513
"18",18,2013,"tt1690953","Despicable Me 2","ok","ok","PASS",7.6e+07,368065385,970766005,"2013PASS",7.6e+07,368065385,970766005,1,1,1338831390,17.6162025
